isbn,title,author,translator,format,pages,publisher,published,year,votes,rating
9.78E+12,The Faculty of Dreams,Sara Stridsberg,Deborah Bragan-Turner,paperback,338,MacLehose Press,3/21/2019,2019,2914,3.92
9.78E+12,The Pine Islands,Marion Poschmann,Jen Calleja,hardcover,180,Serpents Tail,3/21/2019,2019,1738,3.16
9.78E+12,The Remainder,Alia Trabucco Zeran,Sophie Hughes,paperback,193,And Other Stories,10/4/2018,2019,1012,3.52
9.78E+12,The Shape of the Ruins,Juan Gabriel Vasquez,Anne McLean,hardcover,512,MacLehose Press,5/3/2018,2019,2466,3.95
9.78E+12,The Years,Annie Ernaux,Alison L. Strayer,paperback,232,Fitzcarraldo Editions,6/20/2018,2019,16888,4.18
9.78E+12,Frankenstein in Baghdad,Ahmed Saadawi,Jonathan Wright,paperback,272,Oneworld,2/1/2018,2018,14760,3.57
9.78E+12,"Go, Went, Gone",Jenny Erpenbeck,Susan Bernofsky,hardcover,368,Portobello Books,8/7/2017,2018,7736,3.97
9.78E+12,Like a Fading Shadow,Antonio Muaoz Molina,Camilo A. Ramirez,hardcover,320,Tuskar Rock,11/2/2017,2018,592,3.56
9.78E+12,The 7th Function of Language,Laurent Binet,Sam Taylor,hardcover,390,Harvill Secker,5/3/2017,2018,5638,3.76
9.78E+12,The Dinner Guest,Gabriela Ybarra,Natasha Wimmer,paperback,160,Harvill Secker,3/1/2018,2018,893,3.41
9.78E+12,The Flying Mountain,Christoph Ransmayr,Simon Pare,hardcover,336,Seagull Books,3/31/2018,2018,323,4.1
9.78E+12,The Impostor,Javier Cercas,Frank Wynne,hardcover,430,MacLehose Press,11/2/2017,2018,2139,3.64
9.78E+12,The Stolen Bicycle,Wu Ming-Yi,Darryl Sterk,paperback,416,Text Publishing,8/28/2017,2018,1467,3.88
9.78E+12,The White Book,Han Kang,Deborah Smith,paperback,161,Portobello Books,4/5/2018,2018,14052,3.83
9.78E+12,The World Goes On,Laszla Krasznahorkai,Ottilie Mulzet George Szirtes and John Batki,paperback,320,Tuskar Rock,5/31/2018,2018,772,3.77
9.78E+12,Vernon Subutex 1,Virginie Despentes,Frank Wynne,paperback,352,MacLehose Press,3/22/2018,2018,12250,3.89
9.78E+12,"Die, My Love",Ariana Harwicz,Sarah Moses and Carolina Orloff,paperback,123,Charco Press,9/14/2017,2018,4567,3.53
9.78E+12,Flights,Olga Tokarczuk,Jennifer Croft,paperback,410,Fitzcarraldo Editions,5/17/2017,2018,27229,3.76
